@relation 'Gestures-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Max_AcclZ_wrist numeric
@attribute Max_GyroY_wrist numeric
@attribute Min_AcclX_wrist numeric
@attribute Min_AcclY_wrist numeric
@attribute Min_GyroX_wrist numeric
@attribute Min_GyroY_wrist numeric
@attribute Mean_AcclZ_wrist numeric
@attribute Var_AcclX_wrist numeric
@attribute Var_AcclZ_wrist numeric
@attribute Var_GyroY_wrist numeric
@attribute Var_GyroZ_wrist numeric
@attribute Median_GyroY_wrist numeric
@attribute Min_AcclZ_bicep numeric
@attribute Mean_AcclX_bicep numeric
@attribute Var_AcclX_bicep numeric
@attribute Var_AcclZ_bicep numeric
@attribute Var_GyroX_bicep numeric
@attribute Var_GyroZ_bicep numeric
@attribute result {putt,iron,drive}

@data
28.93,5.41,-16.17,-4.78,-3.14,-1.92,1.879464,6.725219,26.401487,1.204185,1.601118,2.705,-32.689999,-2.555089,50.352776,39.30756,2.872329,3.766084,drive
16.68,2.98,-11.02,-4.86,-3.5,-1.14,1.170702,3.438291,10.875022,0.362191,1.265913,1.495,-26.459999,-1.592368,24.731064,24.355221,2.182004,2.594198,iron
28.17,8.35,-15.18,-5.97,-2.65,-2.04,1.819196,7.864878,29.162916,1.936433,1.995818,4.015,-37.32,-3.204018,57.420673,52.88805,3.116913,3.322294,drive
0.31,0.34,-0.42,-0.34,-0.2,-0.13,0.018305,0.010201,0.011178,0.008604,0.002267,0.165,-0.58,0.027966,0.013524,0.035342,0.007713,0,putt
0.35,0.5,-0.39,-0.56,-0.22,-0.19,0.022881,0.014653,0.01064,0.018422,0.005902,0.245,-0.75,0.022966,0.02864,0.054986,0.008998,0,putt
28.440001,5.93,-20.540001,-2.37,-2.81,-1.84,1.774159,8.847581,30.165897,1.469749,2.106084,-0.02,-39.009998,-2.719292,59.375069,49.766125,3.041264,3.749027,drive
24.379999,6.44,-14.34,-3.64,-2.67,-2.2,1.753661,7.403624,27.258795,1.65309,1.894981,3.205,-35.18,-3.208929,67.210495,49.389847,3.255207,3.405082,drive
11.61,2.63,-10.49,-3.83,-2.73,-0.82,0.591579,2.645827,3.58495,0.272968,1.008281,1.325,-16.68,-1.221667,8.638585,7.313492,1.245718,1.279349,iron
29.209999,4.36,-16.42,-5.12,-3.06,-1.83,1.708495,8.190035,28.439363,0.987098,1.999567,-0.03,-37.200001,-2.799469,52.093357,48.550961,3.484878,4.219308,drive
28.59,5.98,-18.24,-5.69,-3.22,-2.29,2.000265,10.887929,31.7365,1.539409,2.11391,-0.03,-38.09,-3.01708,58.186989,50.354557,2.854964,3.928334,drive
0.4,0.31,-0.47,-0.6,-0.24,-0.16,0.026154,0.014352,0.009726,0.009387,0.002433,-0.01,-0.71,0.04906,0.020904,0.037961,0.004144,0,putt
0.32,0.38,-0.38,-0.28,-0.26,-0.14,0.023025,0.019275,0.009716,0.00971,0.003389,-0.01,-1.02,0.03563,0.029183,0.04623,0.006391,0,putt
25.290001,6.13,-15.86,-4.85,-3.2,-2.23,1.813929,5.666834,21.075079,1.215128,1.293269,3.03,-32.990002,-2.615714,37.547398,37.822151,2.711469,3.462584,drive
0.5,0.28,-0.29,-0.38,-0.19,-0.13,0.017143,0.00879,0.010128,0.006108,0.001885,-0.01,-0.6,0.045126,0.013144,0.025778,0.005914,0,putt
12.19,2.81,-4.17,-6.25,-3.78,-0.98,1.074211,2.056289,6.495097,0.221974,1.091999,1.405,-26.18,-1.829825,20.705391,19.856344,2.177936,2.774035,iron
25.969999,5.63,-15.41,-5.62,-2.88,-2.01,1.813274,8.685884,23.86908,1.309516,2.117539,0.02,-35.82,-2.818761,51.324245,45.333687,2.801662,3.1069,drive
23.16,5.81,-13.93,-2.69,-3.02,-2.23,1.570982,5.578322,21.55385,1.511759,1.651171,2.89,-36.810001,-2.858839,50.465427,39.135136,3.138362,4.118077,drive
10.02,1.12,-3.31,-4.45,-3.12,-1.75,0.737672,0.77157,4.543995,0.161582,0.641024,0.56,-12.81,-1.118621,10.506145,8.46275,1.720602,2.072411,iron
0.52,0.7,-0.35,-0.55,-0.26,-0.29,0.05483,0.027406,0.019475,0.030897,0.00743,0.345,-1.08,0.020169,0.046679,0.089434,0.017038,0,putt
29.6,6.44,-15.05,-4.81,-2.96,-2.1,1.843097,7.903794,25.394651,1.448973,1.847428,-0.03,-32.709999,-2.829912,50.053928,43.363373,2.93087,3.802855,drive
