wrist-orientation, wrist-ax, wrist-ay, wrist-az, wrist-gx, wrist-gy, wrist-gz, wrist-positionx, wrist-positiony, wrist-positionz, bicep-orientation, bicep-ax, bicep-ay, bicep-az, bicep-gx, bicep-gy, bicep-gz
256.81,73.19,3.75,-2.25,-2.05,-2.01,-1.61,-1.05,2.00,-0.07,0.00,-0.02,353.19,80.87,92.62,-7.25,-3.38,6.92,0.00,0.00,0.00,0.4947,0.4559,-0.3911,0.6281,0.7033,-0.0703,-0.7062,0.0417
254.25,74.25,28.44,-1.24,-1.87,-2.44,-0.61,-0.33,1.10,-0.07,0.00,-0.02,353.19,80.87,92.62,-8.92,-5.17,6.60,0.00,0.00,0.00,0.4724,0.4352,-0.4396,0.6279,0.7033,-0.0703,-0.7062,0.0417
251.94,72.94,39.19,-1.26,-2.70,-2.49,-0.02,-0.03,0.42,-0.07,0.00,-0.02,353.19,80.87,92.62,-8.35,-5.64,6.72,0.00,0.00,0.00,0.4589,0.4238,-0.4553,0.6345,0.7033,-0.0703,-0.7062,0.0417
249.75,72.44,38.13,-0.55,-3.36,-2.86,0.76,0.08,-0.27,-0.07,0.00,-0.02,353.19,80.87,92.62,-8.01,-5.64,6.54,0.00,0.00,0.00,0.4498,0.4318,-0.4403,0.6461,0.7033,-0.0703,-0.7062,0.0417
250.06,73.50,20.81,-2.04,-3.62,-4.58,1.72,0.40,-1.55,-0.07,0.00,-0.02,352.00,79.62,85.94,-6.93,-4.19,4.95,0.00,0.00,0.00,0.4587,0.4635,-0.3871,0.6519,0.7098,-0.0770,-0.6984,0.0496
252.81,70.75,-18.31,-4.84,-2.00,-6.60,2.67,1.04,-3.11,-0.07,0.00,-0.02,352.00,79.62,85.94,-5.22,-2.10,3.69,0.00,0.00,0.00,0.4919,0.5213,-0.2537,0.6495,0.7098,-0.0770,-0.6984,0.0496
258.87,56.38,-49.56,-6.91,-2.40,-8.29,3.52,2.21,-4.81,-0.07,0.00,-0.02,352.00,79.62,85.94,-1.82,-0.21,3.75,0.00,0.00,0.00,0.5308,0.5571,-0.0926,0.6320,0.7098,-0.0770,-0.6984,0.0496
268.56,30.56,-66.87,-11.92,0.72,-12.15,3.87,3.65,-6.87,-0.07,0.00,-0.02,352.00,79.62,85.94,-0.17,-2.00,0.34,0.00,0.00,0.00,0.5884,0.5454,0.2088,0.5591,0.7098,-0.0770,-0.6984,0.0496
282.87,-2.94,-73.19,-17.64,-1.76,-15.80,0.85,5.94,-7.39,-0.07,0.00,-0.02,352.00,79.62,85.94,0.37,-0.62,-3.84,0.00,0.00,0.00,0.6324,0.3892,0.4680,0.4792,0.7098,-0.0770,-0.6984,0.0496
287.56,-34.94,-80.75,-19.01,7.26,-19.15,-2.06,8.25,-6.10,-0.08,0.00,-0.03,352.00,79.62,85.94,6.67,-3.66,-11.69,0.00,0.00,0.00,0.5831,0.1168,0.6664,0.4497,0.7098,-0.0770,-0.6984,0.0496
267.19,-49.50,-97.25,-20.92,8.12,-16.83,-2.94,8.46,-0.74,-0.08,0.00,-0.03,352.00,79.62,85.94,10.41,-3.94,-10.01,0.00,0.00,0.00,0.4020,-0.1269,0.7575,0.4985,0.7098,-0.0770,-0.6984,0.0496
221.25,-33.44,-115.69,-18.43,12.83,-18.02,-3.13,9.07,2.68,-0.08,0.00,-0.03,352.00,79.62,85.94,10.31,-13.70,-4.42,0.00,0.00,0.00,0.0488,-0.2629,0.7943,0.5456,0.7098,-0.0770,-0.6984,0.0496
125.87,6.06,-99.44,-25.42,9.52,-12.98,-5.78,8.51,7.01,-0.08,0.01,-0.03,352.00,79.62,85.94,4.16,-10.95,-4.74,0.00,0.00,0.00,-0.4019,-0.2450,0.6782,0.5643,0.7098,-0.0770,-0.6984,0.0496
74.44,38.06,-73.87,-21.93,8.45,-9.08,-2.18,4.99,9.13,-0.09,0.01,-0.03,352.00,79.62,85.94,-0.96,-8.40,-1.79,0.00,0.00,0.00,-0.6563,-0.1241,0.5952,0.4468,0.7098,-0.0770,-0.6984,0.0496
37.88,56.88,-26.50,-19.01,4.10,-3.61,-2.47,3.33,8.84,-0.09,0.01,-0.04,352.00,79.62,85.94,-6.08,-6.40,3.00,0.00,0.00,0.00,-0.8487,0.0807,0.4716,0.2256,0.7098,-0.0770,-0.6984,0.0496
10.69,48.69,26.94,-15.92,2.39,-2.04,-1.52,0.73,7.86,-0.09,0.01,-0.04,352.00,79.62,85.94,-10.95,1.84,2.54,0.00,0.00,0.00,-0.8896,0.2455,0.3843,0.0223,0.7098,-0.0770,-0.6984,0.0496
344.37,31.56,49.44,-12.55,0.04,0.91,-0.67,-0.56,6.26,-0.09,0.01,-0.04,352.00,79.62,85.94,-10.66,1.42,3.18,0.00,0.00,0.00,-0.8606,0.3458,0.3338,-0.1684,0.7098,-0.0770,-0.6984,0.0496
325.00,20.19,58.00,-7.25,-3.58,1.47,-0.19,-1.53,3.13,-0.10,0.01,-0.04,352.00,79.62,85.94,-12.82,6.08,6.39,0.00,0.00,0.00,-0.8140,0.3817,0.3315,-0.2859,0.7098,-0.0770,-0.6984,0.0496
