@relation Gestures

@attribute Max_AcclX_wrist numeric
@attribute Max_AcclY_wrist numeric
@attribute Max_AcclZ_wrist numeric
@attribute Max_GyroX_wrist numeric
@attribute Max_GyroY_wrist numeric
@attribute Max_GyroZ_wrist numeric
@attribute Min_AcclX_wrist numeric
@attribute Min_AcclY_wrist numeric
@attribute Min_AcclZ_wrist numeric
@attribute Min_GyroX_wrist numeric
@attribute Min_GyroY_wrist numeric
@attribute Min_GyroZ_wrist numeric
@attribute Mean_AcclX_wrist numeric
@attribute Mean_AcclY_wrist numeric
@attribute Mean_AcclZ_wrist numeric
@attribute Mean_GyroX_wrist numeric
@attribute Mean_GyroY_wrist numeric
@attribute Mean_GyroZ_wrist numeric
@attribute Var_AcclX_wrist numeric
@attribute Var_AcclY_wrist numeric
@attribute Var_AcclZ_wrist numeric
@attribute Var_GyroX_wrist numeric
@attribute Var_GyroY_wrist numeric
@attribute Var_GyroZ_wrist numeric
@attribute ZeroCrossCount_AcclX_wrist numeric
@attribute ZeroCrossCount_AcclY_wrist numeric
@attribute ZeroCrossCount_AcclZ_wrist numeric
@attribute ZeroCrossCount_GyroX_wrist numeric
@attribute ZeroCrossCount_GyroY_wrist numeric
@attribute ZeroCrossCount_GyroZ_wrist numeric
@attribute Median_AcclX_wrist numeric
@attribute Median_AcclY_wrist numeric
@attribute Median_AcclZ_wrist numeric
@attribute Median_GyroX_wrist numeric
@attribute Median_GyroY_wrist numeric
@attribute Median_GyroZ_wrist numeric
@attribute Max_AcclX_bicep numeric
@attribute Max_AcclY_bicep numeric
@attribute Max_AcclZ_bicep numeric
@attribute Max_GyroX_bicep numeric
@attribute Max_GyroY_bicep numeric
@attribute Max_GyroZ_bicep numeric
@attribute Min_AcclX_bicep numeric
@attribute Min_AcclY_bicep numeric
@attribute Min_AcclZ_bicep numeric
@attribute Min_GyroX_bicep numeric
@attribute Min_GyroY_bicep numeric
@attribute Min_GyroZ_bicep numeric
@attribute Mean_AcclX_bicep numeric
@attribute Mean_AcclY_bicep numeric
@attribute Mean_AcclZ_bicep numeric
@attribute Mean_GyroX_bicep numeric
@attribute Mean_GyroY_bicep numeric
@attribute Mean_GyroZ_bicep numeric
@attribute Var_AcclX_bicep numeric
@attribute Var_AcclY_bicep numeric
@attribute Var_AcclZ_bicep numeric
@attribute Var_GyroX_bicep numeric
@attribute Var_Gyro_bicep numeric
@attribute Var_GyroZ_bicep numeric
@attribute ZeroCrossCount_AcclX_bicep numeric
@attribute ZeroCrossCount_AcclY_bicep numeric
@attribute ZeroCrossCount_AcclZ_bicep numeric
@attribute ZeroCrossCount_GyroX_bicep numeric
@attribute ZeroCrossCount_GyroY_bicep numeric
@attribute ZeroCrossCount_GyroZ_bicep numeric
@attribute Median_AcclX_bicep numeric
@attribute Median_AcclY_bicep numeric
@attribute Median_AcclZ_bicep numeric
@attribute Median_GyroX_bicep numeric
@attribute Median_GyroY_bicep numeric
@attribute Median_GyroZ_bicep numeric
@attribute result {putt,iron,drive}

@data
5.68,6.73,15.43,10.54,2.09,2.76,-2.57,-5.04,-1.68,-3.53,-1.21,-3.24,0.056018,0.087345,1.204248,0.027168,0.053009,0.097699,1.386974,2.373402,7.371484,5.707802,0.18215,0.867588,27,20,26,18,20,14,-0.17,0.06,0.38,-0.01,0,0.01,1.61,6.25,3.51,3,6.72,5,-16.75,-7.29,-20.940001,-7.61,-2.81,-6,-1.739469,-0.327699,-1.65823,0.013805,0.022035,-0.053097,15.369652,3.640579,17.980028,2.191314,3.42947,2.151761,22,26,12,25,16,4,-0.17,-0.18,-0.02,0.01,-0,0,iron
4.96,9.83,24.32,11.55,4.99,5.84,-10.47,-3.64,-2.73,-2.93,-2.11,-3.51,-0.29386,0.261579,1.683246,-0.065526,0.096842,0.189298,5.155523,3.274767,21.49819,6.848736,1.174374,1.811578,20,22,20,10,19,16,2.55,4.92,12.36,5.525,2.5,2.915,2.25,9.16,3.21,2.51,10.29,6,-32.880001,-11.08,-32.82,-11.46,-2.77,-8,-2.808597,-0.374737,-2.384561,0.069123,-0.009474,-0.017544,45.6166,5.63605,39.446804,2.995473,5.047098,3.451014,12,28,22,27,8,4,0.89,4.655,1.245,1.335,4.94,3,drive
0.77,0.79,1.24,0.86,0.36,0.48,-0.69,-1.4,-1.49,-0.55,-0.35,-0.21,-0.008814,0.001271,-0.082203,0.005085,-0.006525,0.005,0.032362,0.089866,0.169016,0.033018,0.015127,0.009363,42,42,23,23,8,12,0.385,0.395,0.585,0.43,0.17,0.235,0.61,1.09,1.15,0.43,0.43,0,-0.44,-0.77,-0.77,-0.62,-0.39,0,0.032373,0.022881,-0.048729,-0.009407,-0.003983,0,0.026069,0.068679,0.105233,0.017915,0.02446,0,40,61,24,29,8,0,0.325,0.55,0.56,0.22,0.205,0,putt
0.31,0.27,0.29,0.41,0.43,0.09,-0.56,-0.58,-0.21,-0.21,-0.23,-0.23,-0.036186,-0.023305,0.035593,-0.004407,-0.001102,-0.009237,0.018332,0.015216,0.010383,0.018877,0.015743,0.003714,40,44,56,23,11,14,0.135,0.125,0.155,0.2,0.21,0.045,0.6,0.6,0.59,0.16,0.54,0,-0.4,-0.83,-0.49,-0.24,-0.27,0,0.037458,-0.002034,-0.08322,0.00339,-0.002203,0,0.028472,0.033406,0.04202,0.007945,0.026184,0,32,40,12,23,12,0,0.325,0.3,0.25,0.085,0.26,0,putt
3.12,17.299999,30.040001,11.44,6.07,10.56,-21.43,-6.37,-1.66,-2.89,-2.05,-3.61,-0.891593,0.309823,1.921593,-0.145221,0.106549,0.159735,11.707159,5.613167,31.899282,7.052514,1.310458,3.558427,15,22,31,12,17,16,-0.17,0.23,0.14,-1,-0.02,-0.02,2.37,21.08,4.15,3.19,10.45,8,-37.82,-7.15,-35.220001,-11.6,-3.45,-8,-3.239823,0.088053,-2.496283,0.110885,-0.003894,-0.035398,61.068565,8.32798,53.911152,4.00749,5.852152,4.061856,10,14,17,26,8,4,-1.1,0.26,-0.13,0.35,-0.21,0,drive
0.31,0.62,0.4,0.38,0.37,0.13,-0.42,-0.59,-0.22,-0.21,-0.21,-0.2,-0.031356,-0.027119,0.017966,0.004068,-0.00339,-0.004068,0.013657,0.018002,0.009832,0.015101,0.011727,0.002959,30,48,42,12,19,18,0.14,0.295,0.2,0.185,0.18,0.065,0.49,0.38,0.52,0.25,0.49,-0,-0.36,-0.38,-0.51,-0.24,-0.25,-0,0.031102,-0.016356,-0.080339,-0.007203,-0.002542,0,0.019583,0.019542,0.040465,0.007462,0.019175,0,38,50,18,23,15,0,0.265,0.185,0.22,0.125,0.24,0,putt
1.67,10.16,15.08,8.1,2.85,5.47,-8.96,-8.04,-1.05,-3.22,-0.81,-1.37,-0.550351,0.134649,1.074298,-0.021403,0.059825,0.090965,2.554102,4.385114,7.45713,4.652537,0.284719,0.95685,27,30,30,12,14,24,0.725,5.18,7.615,3.84,1.415,2.73,2.08,14.71,2.5,3.21,7.81,4,-19.85,-7.71,-23.360001,-6.4,-2.77,-6,-1.204474,-0.192018,-1.513684,0.072193,0.052544,0.008772,16.076527,5.951969,17.543886,1.713329,3.788566,1.592687,24,27,15,16,16,4,1.065,7.475,1.065,1.71,3.8,2,iron
4.59,13.97,25.360001,12.78,6.08,8.98,-21.370001,-6.27,-2.22,-2.87,-2.03,-2.97,-0.589646,0.476372,1.627876,-0.032655,-0.036814,0.211062,8.799843,4.579037,21.978056,6.834583,1.126513,1.895625,20,26,34,21,20,19,-0.15,0.15,0.26,-0.19,-0.1,0,2.16,8.45,3.18,2.54,9.97,7,-34.790001,-20.15,-35.529999,-12.13,-2.44,-10,-2.55469,-0.283274,-2.427876,-0.024159,-0.077876,-0.079646,53.644283,8.898915,43.413807,3.056924,4.759814,3.852109,16,29,19,21,11,3,-0.06,0.11,-0.66,0.04,-0.23,-0,drive
3.51,5.84,8.26,8.29,1.79,0.75,-2.13,-4.09,-0.14,-3.28,-1.02,-2.92,0.0992,-0.0964,1.591,0.5624,0.0534,-0.0538,1.02583,2.660004,4.180251,7.57524,0.353463,0.607908,9,13,2,10,6,8,1.735,2.935,4.5,4.145,0.92,0.425,1.31,3.91,2.8,2.02,7.07,2,-9.71,-7.14,-13.53,-5.54,-2.85,-4,-2.0072,-1.029,-2.537,-0.2196,0.5956,0.14,7.955663,3.263946,13.062593,2.527131,5.965268,1.714294,7,14,6,10,5,3,0.395,1.67,1.075,1.05,3.545,1,iron
6.08,6.78,13.85,10.91,2.87,3.57,-8.25,-6.65,-2.67,-3.58,-1.18,-3.46,0.061947,0.031858,1.15177,0.011858,0.021416,0.146195,2.438582,2.688329,9.018496,6.097896,0.25423,1.030367,35,34,26,20,26,18,-0.07,0.03,0.18,-0.1,-0,0.02,2.1,9.9,3.1,3.43,7.87,5,-23.469999,-8.57,-21.42,-7.67,-3.11,-7,-1.879911,-0.33823,-1.952035,0.005575,-0.008496,-0.044248,22.352627,5.205592,18.764181,2.247146,4.252902,2.651372,24,35,14,20,16,4,0.01,-0.07,-0.57,0.12,-0.07,-0,iron
